BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
6,7,6,test,2004999,396599,334545,2004999,116336,0,0,32019,0.776667,0.79,74
6,7,7,test,2004999,396599,334545,2004999,123607,0,0,36042,0.813333,0.826667,81
6,7,8,test,2004999,396599,334545,2004999,130444,0,0,38526,0.83,0.843333,86
6,7,9,test,2004999,396599,334545,2004999,137202,0,0,40720,0.826667,0.84,87
6,7,10,test,2004999,396599,334545,2004999,144206,0,0,43514,0.83,0.843333,91
6,7,11,test,2004999,396599,334545,2004999,151449,0,0,45770,0.833333,0.846667,95
6,7,12,test,2004999,396599,334545,2004999,229419,0,0,99763,0.833333,0.846667,99
6,8,4,test,2004999,396599,334545,2004999,93238,0,0,33273,0.773333,0.786667,75
6,8,5,test,2004999,396599,334545,2004999,102338,0,0,31135,0.77,0.783333,80
6,8,6,test,2004999,396599,334545,2004999,110096,0,0,29312,0.773333,0.786667,86
6,8,7,test,2004999,396599,334545,2004999,116685,0,0,31913,0.813333,0.826667,93
6,8,8,test,2004999,396599,334545,2004999,123350,0,0,35004,0.816667,0.83,100
6,8,9,test,2004999,396599,334545,2004999,129867,0,0,37022,0.82,0.833333,106
6,8,10,test,2004999,396599,334545,2004999,136220,0,0,40694,0.823333,0.836667,113
6,8,11,test,2004999,396599,334545,2004999,144055,0,0,42889,0.826667,0.84,120
6,8,12,test,2004999,396599,334545,2004999,235524,0,0,104618,0.823333,0.836667,136
6,9,4,test,2004999,396599,334545,2004999,93482,0,0,33269,0.8,0.813333,94
6,9,5,test,2004999,396599,334545,2004999,102588,0,0,31043,0.823333,0.836667,108
6,9,6,test,2004999,396599,334545,2004999,110366,0,0,29200,0.806667,0.82,126
6,9,7,test,2004999,396599,334545,2004999,116997,0,0,31686,0.856667,0.87,139
6,9,8,test,2004999,396599,334545,2004999,123703,0,0,34792,0.863333,0.876667,151
6,9,9,test,2004999,396599,334545,2004999,130278,0,0,36705,0.893333,0.906667,136
6,9,10,test,2004999,396599,334545,2004999,136669,0,0,40367,0.896667,0.91,144
6,9,11,test,2004999,396599,334545,2004999,144648,0,0,42616,0.9,0.913333,152
6,9,12,test,2004999,396599,334545,2004999,236591,0,0,104912,0.9,0.913333,173
6,10,4,test,2004999,396599,334545,2004999,92784,0,0,33000,0.843333,0.856667,142
6,10,5,test,2004999,396599,334545,2004999,101780,0,0,30816,0.866667,0.88,163
6,10,6,test,2004999,396599,334545,2004999,109440,0,0,29024,0.883333,0.896667,158
6,10,7,test,2004999,396599,334545,2004999,115965,0,0,31565,0.92,0.933333,173
6,10,8,test,2004999,396599,334545,2004999,122566,0,0,34561,0.926667,0.94,186
6,10,9,test,2004999,396599,334545,2004999,129001,0,0,36305,0.933333,0.946667,201
6,10,10,test,2004999,396599,334545,2004999,135254,0,0,39942,0.94,0.953333,216
6,10,11,test,2004999,396599,334545,2004999,143076,0,0,42187,0.946667,0.96,231
6,10,12,test,2004999,396599,334545,2004999,234998,0,0,103908,0.963333,0.976667,246
6,11,4,test,2004999,396599,334545,2004999,92576,0,0,32915,0.91,0.923333,176
